cityname,cityshortname,citypinyin,cityshortpinyin,cityareaname,cityareashortname,provincename,provinceshortname
东至县,东至,dongzhixian,dongzhi,池州市,池州市,安徽,安徽
凤冈县,凤冈,fenggangxian,fenggang,遵义市,遵义市,贵州,贵州
壶关县,壶关,huguanxian,huguan,长治市,长治市,山西,山西
靖宇县,靖宇,jingyuxian,jingyu,白山市,白山市,吉林,吉林
龙安区,龙安,longanqu,longan,安阳市,安阳市,河南,河南
门头沟区,门头沟,mentougouqu,mentougou,北京市,北京市,北京,北京
牟平区,牟平,moupingqu,mouping,烟台市,烟台市,山东,山东
隰县,隰县,xixian,xixian,临汾市,临汾市,山西,山西
阳高县,阳高,yanggaoxian,yanggao,大同市,大同市,山西,山西
当雄县,当雄,dangxiongxian,dangxiong,拉萨市,拉萨市,西藏,西藏
红原县,红原,hongyuanxian,hongyuan,阿坝藏族羌族自治州,阿坝藏族羌族自治州,四川,四川
商河县,商河,shanghexian,shanghe,济南市,济南市,山东,山东
即墨,即墨,jimo,jimo,青岛市,青岛市,山东,山东
鸠江区,鸠江,jiujiangqu,jiujiang,芜湖市,芜湖市,安徽,安徽
章丘市,章丘,zhangqiushi,zhangqiu,济南市,济南市,山东,山东
文登区,文登,wendengshi,wendeng,威海市,威海市,山东,山东
市中区,市中,shizhongqu,shizhong,枣庄市,枣庄市,山东,山东
麻江县,麻江,majiangxian,majiang,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
慈溪市,慈溪,cixishi,cixi,宁波市,宁波市,浙江,浙江
佛冈县,佛冈,fogangxian,fogang,清远市,清远市,广东,广东
古蔺县,古蔺,gulinxian,gulin,泸州市,泸州市,四川,四川
喀喇沁旗,喀喇沁旗,kalaqinqi,kalaqinqi,赤峰市,赤峰市,内蒙古,内蒙古
龙里县,龙里,longlixian,longli,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
南靖县,南靖,nanjingxian,nanjing,漳州市,漳州市,福建,福建
永康市,永康,yongkangshi,yongkang,金华市,金华市,浙江,浙江
友谊县,友谊,youyixian,youyi,双鸭山市,双鸭山市,黑龙江,黑龙江
开平市,开平,kaipingshi,kaiping,江门市,江门市,广东,广东
井冈山市,井冈山,jinggangshanshi,jinggangshan,吉安市,吉安市,江西,江西
武山县,武山,wushanxian,wushan,天水市,天水市,甘肃,甘肃
栖霞区,栖霞,qixiaqu,qixia,南京市,南京市,江苏,江苏
成华区,成华,chenghuaqu,chenghua,成都市,成都市,四川,四川
汉寿县,汉寿,hanshouxian,hanshou,常德市,常德市,湖南,湖南
潜山县,潜山,qianshanxian,qianshan,安庆市,安庆市,安徽,安徽
漾濞彝族自治县,漾濞彝族,yangbiyizuzizhixian,yangbiyizu,大理白族自治州,大理白族自治州,云南,云南
高安市,高安,gaoanshi,gaoan,宜春市,宜春市,江西,江西
唐河县,唐河,tanghexian,tanghe,南阳市,南阳市,河南,河南
永定区,永定,yongdingxian,yongding,龙岩市,龙岩市,福建,福建
合肥,合肥,hefei,hefei,合肥市,合肥市,安徽,安徽
清城区,清城,qingchengqu,qingcheng,清远市,清远市,广东,广东
琼山区,琼山,qiongshanqu,qiongshan,海口市,海口市,海南,海南
徐闻县,徐闻,xuwenxian,xuwen,湛江市,湛江市,广东,广东
武冈市,武冈,wugangshi,wugang,邵阳市,邵阳市,湖南,湖南
岑巩县,岑巩,cengongxian,cengong,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
洋县,洋县,yangxian,yangxian,汉中市,汉中市,陕西,陕西
旅顺口区,旅顺口,lvshunkouqu,lvshunkou,大连市,大连市,辽宁,辽宁
石峰区,石峰,shifengqu,shifeng,株洲市,株洲市,湖南,湖南
宝清县,宝清,baoqingxian,baoqing,双鸭山市,双鸭山市,黑龙江,黑龙江
坡头区,坡头,potouqu,potou,湛江市,湛江市,广东,广东
夹江县,夹江,jiajiangxian,jiajiang,乐山市,乐山市,四川,四川
都安瑶族自治县,都安瑶族,douanyaozuzizhixian,douanyaozu,河池市,河池市,广西,广西
雄县,雄县,xiongxian,xiongxian,保定市,保定市,河北,河北
东港市,东港,donggangshi,donggang,丹东市,丹东市,辽宁,辽宁
大名县,大名,damingxian,daming,邯郸市,邯郸市,河北,河北
农安县,农安,nonganxian,nongan,长春市,长春市,吉林,吉林
宁陕县,宁陕,ningshanxian,ningshan,安康市,安康市,陕西,陕西
青白江区,青白江,qingbaijiangqu,qingbaijiang,成都市,成都市,四川,四川
襄阳市,襄阳,xiangyangshi,xiangyang,襄阳市,襄阳市,湖北,湖北
范县,范县,fanxian,fanxian,濮阳市,濮阳市,河南,河南
莱阳市,莱阳,laiyangshi,laiyang,烟台市,烟台市,山东,山东
平阳县,平阳,pingyangxian,pingyang,温州市,温州市,浙江,浙江
新邵县,新邵,xinshaoxian,xinshao,邵阳市,邵阳市,湖南,湖南
汶川县,汶川,wenchuanxian,wenchuan,阿坝藏族羌族自治州,阿坝藏族羌族自治州,四川,四川
玉环县,玉环,yuhuanxian,yuhuan,台州市,台州市,浙江,浙江
平顺县,平顺,pingshunxian,pingshun,长治市,长治市,山西,山西
全南县,全南,quannanxian,quannan,赣州市,赣州市,江西,江西
翁源县,翁源,wengyuanxian,wengyuan,韶关市,韶关市,广东,广东
龙湖区,龙湖,longhuqu,longhu,汕头市,汕头市,广东,广东
桐乡市,桐乡,tongxiangshi,tongxiang,嘉兴市,嘉兴市,浙江,浙江
新绛县,新绛,xinjiangxian,xinjiang,运城市,运城市,山西,山西
潼南区,潼南,tongnanxian,tongnan,重庆市,重庆市,重庆,重庆
双清区,双清,shuangqingqu,shuangqing,邵阳市,邵阳市,湖南,湖南
汉阴县,汉阴,hanyinxian,hanyin,安康市,安康市,陕西,陕西
环江毛南族自治县,环江毛南族,huanjiangmaonanzuzizhixian,huanjiangmaonanzu,河池市,河池市,广西,广西
共和县,共和,gonghexian,gonghe,海南藏族自治州,海南藏族自治州,青海,青海
普安县,普安,puanxian,puan,黔西南布依族苗族自治州,黔西南布依族苗族自治州,贵州,贵州
龙游县,龙游,longyouxian,longyou,衢州市,衢州市,浙江,浙江
武陟县,武陟,wuzhixian,wuzhi,焦作市,焦作市,河南,河南
炎陵县,炎陵,yanlingxian,yanling,株洲市,株洲市,湖南,湖南
岗巴县,岗巴,gangbaxian,gangba,日喀则市,日喀则市,西藏,西藏
龙州县,龙州,longzhouxian,longzhou,崇左市,崇左市,广西,广西
行唐县,行唐,xingtangxian,xingtang,石家庄市,石家庄市,河北,河北
靖边县,靖边,jingbianxian,jingbian,榆林市,榆林市,陕西,陕西
隆安县,隆安,longanxian,longan,南宁市,南宁市,广西,广西
玉树藏族自治州,玉树,yushuxian,yushu,玉树藏族自治州,玉树藏族自治州,青海,青海
黄陵县,黄陵,huanglingxian,huangling,延安市,延安市,陕西,陕西
仲巴县,仲巴,zhongbaxian,zhongba,日喀则市,日喀则市,西藏,西藏
大武口区,大武口,dawukouqu,dawukou,石嘴山市,石嘴山市,宁夏,宁夏
隆化县,隆化,longhuaxian,longhua,承德市,承德市,河北,河北
隆林各族自治县,隆林各族,longlingezuzizhixian,longlingezu,百色市,百色市,广西,广西
惠来县,惠来,huilaixian,huilai,揭阳市,揭阳市,广东,广东
连平县,连平,lianpingxian,lianping,河源市,河源市,广东,广东
锦屏县,锦屏,jinpingxian,jinping,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
大英县,大英,dayingxian,daying,遂宁市,遂宁市,四川,四川
金堂县,金堂,jintangxian,jintang,成都市,成都市,四川,四川
綦江区,綦江,qijiangqu,qijiang,重庆市,重庆市,重庆,重庆
丰镇市,丰镇,fengzhenshi,fengzhen,乌兰察布市,乌兰察布市,内蒙古,内蒙古
梅县区,梅县,meixianqu,meixian,梅州市,梅州市,广东,广东
同仁县,同仁,tongrenxian,tongren,黄南藏族自治州,黄南藏族自治州,青海,青海
道真仡佬族苗族自治县,道真仡佬族苗族,daozhenyilaozumiaozuzizhixian,daozhenyilaozumiaozu,遵义市,遵义市,贵州,贵州
襄城区,襄城,xiangchengqu,xiangcheng,襄阳市,襄阳市,湖北,湖北
陇川县,陇川,longchuanxian,longchuan,德宏傣族景颇族自治州,德宏傣族景颇族自治州,云南,云南
清水县,清水,qingshuixian,qingshui,天水市,天水市,甘肃,甘肃
管城回族区,管城回族,guanchenghuizuqu,guanchenghuizu,郑州市,郑州市,河南,河南
娄烦县,娄烦,loufanxian,loufan,太原市,太原市,山西,山西
吴中区,吴中,suzhougongyeyuanqu,suzhougongyeyuan,苏州市,苏州市,江苏,江苏
原平市,原平,yuanpingshi,yuanping,忻州市,忻州市,山西,山西
振安区,振安,zhenanqu,zhenan,丹东市,丹东市,辽宁,辽宁
周至县,周至,zhouzhixian,zhouzhi,西安市,西安市,陕西,陕西
辉南县,辉南,huinanxian,huinan,通化市,通化市,吉林,吉林
抚松县,抚松,fusongxian,fusong,白山市,白山市,吉林,吉林
茂南区,茂南,maonanqu,maonan,茂名市,茂名市,广东,广东
登封市,登封,dengfengshi,dengfeng,郑州市,郑州市,河南,河南
丰台区,丰台,fengtaiqu,fengtai,北京市,北京市,北京,北京
天门市,天门,tianmenshi,tianmen,天门市,天门市,湖北,湖北
米东区,米东,midongqu,midong,乌鲁木齐市,乌鲁木齐市,新疆,新疆
界首市,界首,jieshoushi,jieshou,阜阳市,阜阳市,安徽,安徽
长垣县,长垣,changyuanxian,changyuan,新乡市,新乡市,河南,河南
建湖县,建湖,jianhuxian,jianhu,盐城市,盐城市,江苏,江苏
东安县,东安,donganxian,dongan,永州市,永州市,湖南,湖南
高青县,高青,gaoqingxian,gaoqing,淄博市,淄博市,山东,山东
西夏区,西夏,xixiaqu,xixia,银川市,银川市,宁夏,宁夏
淮滨县,淮滨,huaibinxian,huaibin,信阳市,信阳市,河南,河南
潘集区,潘集,panjiqu,panji,淮南市,淮南市,安徽,安徽
环县,环县,huanxian,huanxian,庆阳市,庆阳市,甘肃,甘肃
广丰区,广丰,guangfengxian,guangfeng,上饶市,上饶市,江西,江西
埇桥区,埇桥,yongqiaoqu,yongqiao,宿州市,宿州市,安徽,安徽
阜宁县,阜宁,funingxian,funing,盐城市,盐城市,江苏,江苏
惠水县,惠水,huishuixian,huishui,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
路南区,路南,lunanqu,lunan,唐山市,唐山市,河北,河北
鲅鱼圈区,鲅鱼圈,bayuquanqu,bayuquan,营口市,营口市,辽宁,辽宁
芦溪县,芦溪,luxixian,luxi,萍乡市,萍乡市,江西,江西
平和县,平和,pinghexian,pinghe,漳州市,漳州市,福建,福建
景泰县,景泰,jingtaixian,jingtai,白银市,白银市,甘肃,甘肃
饶河县,饶河,raohexian,raohe,双鸭山市,双鸭山市,黑龙江,黑龙江
上高县,上高,shanggaoxian,shanggao,宜春市,宜春市,江西,江西
盐源县,盐源,yanyuanxian,yanyuan,凉山彝族自治州,凉山彝族自治州,四川,四川
康定市,康定,kangdingxian,kangding,甘孜藏族自治州,甘孜藏族自治州,四川,四川
延平区,延平,yanpingqu,yanping,南平市,南平市,福建,福建
沙依巴克区,沙依巴克,shayibakequ,shayibake,乌鲁木齐市,乌鲁木齐市,新疆,新疆
桃江县,桃江,taojiangxian,taojiang,益阳市,益阳市,湖南,湖南
景宁畲族自治县,景宁畲族,jingningshezuzizhixian,jingningshezu,丽水市,丽水市,浙江,浙江
罗平县,罗平,luopingxian,luoping,曲靖市,曲靖市,云南,云南
兴义市,兴义,xingyishi,xingyi,黔西南布依族苗族自治州,黔西南布依族苗族自治州,贵州,贵州
河东区,河东,hedongqu,hedong,天津市,天津市,天津,天津
凤庆县,凤庆,fengqingxian,fengqing,临沧市,临沧市,云南,云南
北湖区,北湖,beihuqu,beihu,郴州市,郴州市,湖南,湖南
巩义市,巩义,gongyishi,gongyi,郑州市,郑州市,河南,河南
宜都市,宜都,yidoushi,yidou,宜昌市,宜昌市,湖北,湖北
云溪区,云溪,yunxiqu,yunxi,岳阳市,岳阳市,湖南,湖南
宿豫区,宿豫,suyuqu,suyu,宿迁市,宿迁市,江苏,江苏
昆山市,昆山,kunshanshi,kunshan,苏州市,苏州市,江苏,江苏
相城区,相城,xiangchengqu,xiangcheng,苏州市,苏州市,江苏,江苏
嘉鱼县,嘉鱼,jiayuxian,jiayu,咸宁市,咸宁市,湖北,湖北
天镇县,天镇,tianzhenxian,tianzhen,大同市,大同市,山西,山西
楚雄市,楚雄,chuxiongshi,chuxiong,楚雄彝族自治州,楚雄彝族自治州,云南,云南
石林彝族自治县,石林彝族,shilinyizuzizhixian,shilinyizu,"昆明市 ","昆明市 ",云南,云南
岳阳县,岳阳,yueyangxian,yueyang,岳阳市,岳阳市,湖南,湖南
山城区,山城,shanchengqu,shancheng,鹤壁市,鹤壁市,河南,河南
福贡县,福贡,fugongxian,fugong,怒江傈僳族自治州,怒江傈僳族自治州,云南,云南
富阳,富阳,fuyang,fuyang,杭州市,杭州市,浙江,浙江
洞头区,洞头,dongtouxian,dongtou,温州市,温州市,浙江,浙江
双阳区,双阳,shuangyangqu,shuangyang,长春市,长春市,吉林,吉林
高陵区,高陵,gaolingxian,gaoling,西安市,西安市,陕西,陕西
鹿寨县,鹿寨,luzhaixian,luzhai,柳州市,柳州市,广西,广西
铁山区,铁山,tieshanqu,tieshan,黄石市,黄石市,湖北,湖北
江宁区,江宁,jiangningqu,jiangning,南京市,南京市,江苏,江苏
华蓥市,华蓥,huayingshi,huaying,广安市,广安市,四川,四川
武宣县,武宣,wuxuanxian,wuxuan,来宾市,来宾市,广西,广西
路桥区,路桥,luqiaoqu,luqiao,台州市,台州市,浙江,浙江
桃城区,桃城,taochengqu,taocheng,衡水市,衡水市,河北,河北
侯马市,侯马,houmashi,houma,临汾市,临汾市,山西,山西
合阳县,合阳,heyangxian,heyang,渭南市,渭南市,陕西,陕西
江川区,江川,jiangchuanxian,jiangchuan,玉溪市,玉溪市,云南,云南
修水县,修水,xiushuixian,xiushui,九江市,九江市,江西,江西
崇阳县,崇阳,chongyangxian,chongyang,咸宁市,咸宁市,湖北,湖北
黄州区,黄州,huangzhouqu,huangzhou,黄冈市,黄冈市,湖北,湖北
山海关区,山海关,shanhaiguanqu,shanhaiguan,秦皇岛市,秦皇岛市,河北,河北
海州区,海州区,xinpuqu,xinpu,连云港市,连云港市,江苏,江苏
临夏市,临夏,linxiashi,linxia,临夏回族自治州,临夏回族自治州,甘肃,甘肃
馆陶县,馆陶,guantaoxian,guantao,邯郸市,邯郸市,河北,河北
榆次区,榆次,yuciqu,yuci,晋中市,晋中市,山西,山西
原阳县,原阳,yuanyangxian,yuanyang,新乡市,新乡市,河南,河南
沅江市,沅江,yuanjiangshi,yuanjiang,益阳市,益阳市,湖南,湖南
戚墅堰区,戚墅堰,qishuyanqu,qishuyan,常州市,常州市,江苏,江苏
潞城市,潞城,luchengshi,lucheng,长治市,长治市,山西,山西
隆阳区,隆阳,longyangqu,longyang,保山市,保山市,云南,云南
万安县,万安,wananxian,wanan,吉安市,吉安市,江西,江西
凤泉区,凤泉,fengquanqu,fengquan,新乡市,新乡市,河南,河南
岷县,岷县,minxian,minxian,定西市,定西市,甘肃,甘肃
伊川县,伊川,yichuanxian,yichuan,洛阳市,洛阳市,河南,河南
旬阳县,旬阳,xunyangxian,xunyang,安康市,安康市,陕西,陕西
启东市,启东,qidongshi,qidong,南通市,南通市,江苏,江苏
岳阳楼区,岳阳楼,yueyanglouqu,yueyanglou,岳阳市,岳阳市,湖南,湖南
博兴县,博兴,boxingxian,boxing,滨州市,滨州市,山东,山东
铜梁区,铜梁,tongliangxian,tongliang,重庆市,重庆市,重庆,重庆
巴东县,巴东,badongxian,badong,恩施土家族苗族自治州,恩施土家族苗族自治州,湖北,湖北
崇明区,崇明,chongmingxian,chongming,上海市,上海市,上海,上海
京山县,京山,jingshanxian,jingshan,荆门市,荆门市,湖北,湖北
来凤县,来凤,laifengxian,laifeng,恩施土家族苗族自治州,恩施土家族苗族自治州,湖北,湖北
浠水县,浠水,xishuixian,xishui,黄冈市,黄冈市,湖北,湖北
涿鹿县,涿鹿,zhuoluxian,zhuolu,张家口市,张家口市,河北,河北
双滦区,双滦,shuangluanqu,shuangluan,承德市,承德市,河北,河北
罗江县,罗江,luojiangxian,luojiang,德阳市,德阳市,四川,四川
南安市,南安,nananqu,nanan,泉州市,泉州市,福建,福建
轮台县,轮台,luntaixian,luntai,巴音郭楞蒙古自治州,巴音郭楞蒙古自治州,新疆,新疆
江州区,江州,jiangzhouqu,jiangzhou,崇左市,崇左市,广西,广西
青神县,青神,qingshenxian,qingshen,眉山市,眉山市,四川,四川
桂平市,桂平,guipingshi,guiping,贵港市,贵港市,广西,广西
若羌县,若羌,ruoqiangxian,ruoqiang,巴音郭楞蒙古自治州,巴音郭楞蒙古自治州,新疆,新疆
曲松县,曲松,qusongxian,qusong,山南市,山南市,西藏,西藏
高县,高县,gaoxian,gaoxian,宜宾市,宜宾市,四川,四川
晋源区,晋源,jinyuanqu,jinyuan,太原市,太原市,山西,山西
高台县,高台,gaotaixian,gaotai,张掖市,张掖市,甘肃,甘肃
禄丰县,禄丰,lufengxian,lufeng,楚雄彝族自治州,楚雄彝族自治州,云南,云南
文圣区,文圣,wenshengqu,wensheng,辽阳市,辽阳市,辽宁,辽宁
宝山区,宝山,baoshanqu,baoshan,上海市,上海市,上海,上海
珙县,珙县,gongxian,gongxian,宜宾市,宜宾市,四川,四川
永安市,永安,yonganshi,yongan,三明市,三明市,福建,福建
招远,招远,zhaoyuan,zhaoyuan,烟台市,烟台市,山东,山东
华阴市,华阴,huayinshi,huayin,渭南市,渭南市,陕西,陕西
蓬溪县,蓬溪,pengxixian,pengxi,遂宁市,遂宁市,四川,四川
长丰县,长丰,changfengxian,changfeng,合肥市,合肥市,安徽,安徽
裕安区,裕安,yuanqu,yuan,六安市,六安市,安徽,安徽
青山湖区,青山湖,qingshanhuqu,qingshanhu,南昌市,南昌市,江西,江西
福安市,福安,fuanshi,fuan,宁德市,宁德市,福建,福建
通川区,通川,tongchuanqu,tongchuan,达州市,达州市,四川,四川
陆丰市,陆丰,lufengshi,lufeng,汕尾市,汕尾市,广东,广东
曲江区,曲江,qujiangqu,qujiang,韶关市,韶关市,广东,广东
新会区,新会,xinhuiqu,xinhui,江门市,江门市,广东,广东
长乐市,长乐,changleshi,changle,福州市,福州市,福建,福建
洛宁县,洛宁,luoningxian,luoning,洛阳市,洛阳市,河南,河南
那曲县,那曲,naquxian,naqu,那曲地区,那曲,西藏,西藏
贡觉县,贡觉,gongjuexian,gongjue,昌都市,昌都市,西藏,西藏
富民县,富民,fuminxian,fumin,"昆明市 ","昆明市 ",云南,云南
富民县,富民,fuminxian,fumin,昆明市,昆明市,云南,云南
上饶县,上饶,shangraoxian,shangrao,上饶市,上饶市,江西,江西
大祥区,大祥,daxiangqu,daxiang,邵阳市,邵阳市,湖南,湖南
永定区,永定,yongdingqu,yongding,张家界市,张家界市,湖南,湖南
峡江县,峡江,xiajiangxian,xiajiang,吉安市,吉安市,江西,江西
湾里区,湾里,wanliqu,wanli,南昌市,南昌市,江西,江西
彭阳县,彭阳,pengyangxian,pengyang,固原市,固原市,宁夏,宁夏
西乡塘区,西乡塘,xixiangtangqu,xixiangtang,南宁市,南宁市,广西,广西
万源,万源,wanyuan,wanyuan,达州市,达州市,四川,四川
罗庄区,罗庄,luozhuangqu,luozhuang,临沂市,临沂市,山东,山东
洛江区,洛江,luojiangqu,luojiang,泉州市,泉州市,福建,福建
嘉善县,嘉善,jiashanxian,jiashan,嘉兴市,嘉兴市,浙江,浙江
象州县,象州,xiangzhouxian,xiangzhou,来宾市,来宾市,广西,广西
古丈县,古丈,guzhangxian,guzhang,湘西土家族苗族自治州,湘西土家族苗族自治州,湖南,湖南
兴县,兴县,xingxian,xingxian,吕梁市,吕梁市,山西,山西
罗源县,罗源,luoyuanxian,luoyuan,福州市,福州市,福建,福建
唐县,唐县,tangxian,tangxian,保定市,保定市,河北,河北
汪清县,汪清,wangqingxian,wangqing,延边朝鲜族自治州,延边朝鲜族自治州,吉林,吉林
乐业县,乐业,leyexian,leye,百色市,百色市,广西,广西
惠安县,惠安,huianxian,huian,泉州市,泉州市,福建,福建
陆河县,陆河,luhexian,luhe,汕尾市,汕尾市,广东,广东
东区,东区,dongqu,dongqu,攀枝花市,攀枝花市,四川,四川
天桥区,天桥,tianqiaoqu,tianqiao,济南市,济南市,山东,山东
西工区,西工,xigongqu,xigong,洛阳市,洛阳市,河南,河南
寿光市,寿光,shouguangshi,shouguang,潍坊市,潍坊市,山东,山东
迭部县,迭部,diebuxian,diebu,甘南藏族自治州,甘南藏族自治州,甘肃,甘肃
大通区,大通,datongqu,datong,淮南市,淮南市,安徽,安徽
香格里拉市,香格里拉,xianggelilaxian,xianggelila,迪庆藏族自治州,迪庆藏族自治州,云南,云南
白朗县,白朗,bailangxian,bailang,日喀则市,日喀则市,西藏,西藏
宁都县,宁都,ningdouxian,ningdou,赣州市,赣州市,江西,江西
洛隆县,洛隆,luolongxian,luolong,昌都市,昌都市,西藏,西藏
芒康县,芒康,mangkangxian,mangkang,昌都市,昌都市,西藏,西藏
老城区,老城,laochengqu,laocheng,洛阳市,洛阳市,河南,河南
炉霍县,炉霍,luhuoxian,luhuo,甘孜藏族自治州,甘孜藏族自治州,四川,四川
惠山区,惠山,huishanqu,huishan,无锡市,无锡市,江苏,江苏
什邡市,什邡,shifangshi,shifang,德阳市,德阳市,四川,四川
从江县,从江,congjiangxian,congjiang,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
新安县,新安,xinanxian,xinan,洛阳市,洛阳市,河南,河南
石渠县,石渠,shiquxian,shiqu,甘孜藏族自治州,甘孜藏族自治州,四川,四川
市北区,市北区,sifangqu,sifang,青岛市,青岛市,山东,山东
曾都区,曾都,zengdouqu,zengdou,随州市,随州市,湖北,湖北
洛扎县,洛扎,luozhaxian,luozha,山南市,山南市,西藏,西藏
广水市,广水,guangshuishi,guangshui,随州市,随州市,湖北,湖北
包河区,包河,baohequ,baohe,合肥市,合肥市,安徽,安徽
罗田县,罗田,luotianxian,luotian,黄冈市,黄冈市,湖北,湖北
镇海区,镇海,zhenhaiqu,zhenhai,宁波市,宁波市,浙江,浙江
云龙区,云龙,yunlongqu,yunlong,徐州市,徐州市,江苏,江苏
太仆寺旗,太仆寺旗,taipusiqi,taipusiqi,锡林郭勒盟,锡林郭勒盟,内蒙古,内蒙古
任县,任县,renxian,renxian,邢台市,邢台市,河北,河北
洪山区,洪山,hongshanqu,hongshan,武汉市,武汉市,湖北,湖北
贵定县,贵定,guidingxian,guiding,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
霍山县,霍山,huoshanxian,huoshan,六安市,六安市,安徽,安徽
安次区,安次,anciqu,anci,廊坊市,廊坊市,河北,河北
盐津县,盐津,yanjinxian,yanjin,昭通市,昭通市,云南,云南
萨迦县,萨迦,sajiaxian,sajia,日喀则市,日喀则市,西藏,西藏
金寨县,金寨,jinzhaixian,jinzhai,六安市,六安市,安徽,安徽
掇刀区,掇刀,duodaoqu,duodao,荆门市,荆门市,湖北,湖北
武川县,武川,wuchuanxian,wuchuan,呼和浩特市,呼和浩特市,内蒙古,内蒙古
夏河县,夏河,xiahexian,xiahe,甘南藏族自治州,甘南藏族自治州,甘肃,甘肃
方山县,方山,fangshanxian,fangshan,吕梁市,吕梁市,山西,山西
曲麻莱县,曲麻莱,qumalaixian,qumalai,玉树藏族自治州,玉树藏族自治州,青海,青海
公安县,公安,gonganxian,gongan,荆州市,荆州市,湖北,湖北
盐池县,盐池,yanchixian,yanchi,吴忠市,吴忠市,宁夏,宁夏
神木县,神木,shenmuxian,shenmu,榆林市,榆林市,陕西,陕西
尼木县,尼木,nimuxian,nimu,拉萨市,拉萨市,西藏,西藏
雅江县,雅江,yajiangxian,yajiang,甘孜藏族自治州,甘孜藏族自治州,四川,四川
门源回族自治县,门源回族,menyuanhuizuzizhixian,menyuanhuizu,海北藏族自治州,海北藏族自治州,青海,青海
米易县,米易,miyixian,miyi,攀枝花市,攀枝花市,四川,四川
改则县,改则,gaizexian,gaize,阿里地区,阿里,西藏,西藏
建阳区,建阳,jianyangshi,jianyang,南平市,南平市,福建,福建
麻山区,麻山,mashanqu,mashan,鸡西市,鸡西市,黑龙江,黑龙江
阳东区,阳东,yangdongxian,yangdong,阳江市,阳江市,广东,广东
孟津县,孟津,mengjinxian,mengjin,洛阳市,洛阳市,河南,河南
独山县,独山,dushanxian,dushan,黔南布依族苗族自治州,黔南布依族苗族自治州,贵州,贵州
塔什库尔干塔吉克自治县,塔什库尔干塔吉克,tashikuergantajikezizhixian,tashikuergantajike,喀什地区,喀什,新疆,新疆
伊宁县,伊宁,yiningxian,yining,伊犁哈萨克自治州,伊犁哈萨克自治州,新疆,新疆
麻章区,麻章,mazhangqu,mazhang,湛江市,湛江市,广东,广东
会昌县,会昌,huichangxian,huichang,赣州市,赣州市,江西,江西
巍山彝族回族自治县,巍山彝族回族,weishanyizuhuizuzizhixian,weishanyizuhuizu,大理白族自治州,大理白族自治州,云南,云南
伊通满族自治县,伊通满族,yitongmanzuzizhixian,yitongmanzu,四平市,四平市,吉林,吉林
盱眙县,盱眙,xuyixian,xuyi,淮安市,淮安市,江苏,江苏
马关县,马关,maguanxian,maguan,文山壮族苗族自治州,文山壮族苗族自治州,云南,云南
西林县,西林,xilinxian,xilin,百色市,百色市,广西,广西
滦南县,滦南,luannanxian,luannan,唐山市,唐山市,河北,河北
珲春市,珲春,huichunshi,huichun,延边朝鲜族自治州,延边朝鲜族自治州,吉林,吉林
马村区,马村,macunqu,macun,焦作市,焦作市,河南,河南
元氏县,元氏,yuanshixian,yuanshi,石家庄市,石家庄市,河北,河北
高平市,高平,gaopingshi,gaoping,晋城市,晋城市,山西,山西
通化县,通化,tonghuaxian,tonghua,通化市,通化市,吉林,吉林
左云县,左云,zuoyunxian,zuoyun,大同市,大同市,山西,山西
安平县,安平,anpingxian,anping,"衡水市 ","衡水市 ",河北,河北
城北区,城北,chengbeiqu,chengbei,西宁市,西宁市,青海,青海
鄢陵县,鄢陵,yanlingxian,yanling,许昌市,许昌市,河南,河南
永寿县,永寿,yongshouxian,yongshou,咸阳市,咸阳市,陕西,陕西
海城市,海城,haichengshi,haicheng,鞍山市,鞍山市,辽宁,辽宁
沈北新区,沈北新,shenbeixinqu,shenbeixin,沈阳市,沈阳市,辽宁,辽宁
同心县,同心,tongxinxian,tongxin,吴忠市,吴忠市,宁夏,宁夏
城区,城区,chengqu,chengqu,汕尾市,汕尾市,广东,广东
泌阳县,泌阳,miyangxian,miyang,驻马店市,驻马店市,河南,河南
忠县,忠县,zhongxian,zhongxian,重庆市,重庆市,重庆,重庆
高州市,高州,gaozhoushi,gaozhou,茂名市,茂名市,广东,广东
马龙县,马龙,malongxian,malong,曲靖市,曲靖市,云南,云南
施秉县,施秉,shibingxian,shibing,黔东南苗族侗族自治州,黔东南苗族侗族自治州,贵州,贵州
宁安市,宁安,ninganshi,ningan,牡丹江市,牡丹江市,黑龙江,黑龙江
陇西县,陇西,longxixian,longxi,定西市,定西市,甘肃,甘肃
九江县,九江,jiujiangxian,jiujiang,九江市,九江市,江西,江西
定陶区,定陶,dingtaoxian,dingtao,菏泽市,菏泽市,山东,山东
矿区,矿区,kuangqu,kuangqu,大同市,大同市,山西,山西
绥德县,绥德,suidexian,suide,榆林市,榆林市,陕西,陕西
枝江市,枝江,zhijiangshi,zhijiang,宜昌市,宜昌市,湖北,湖北
延川县,延川,yanchuanxian,yanchuan,延安市,延安市,陕西,陕西
淳化县,淳化,chunhuaxian,chunhua,咸阳市,咸阳市,陕西,陕西
