zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin,11
henan,yeji district,henan指河南，无需修改。yeji district指河南信阳市的叶集区，所属地级行政是信阳市，全称信阳市，简称信阳。叶集区全称叶集区，简称叶集,河南,信阳市,信阳,叶集区,叶集,,henan,henan,xinyangshi,xinyang,yejiqu,yeji,河南省,河南,信阳市,信阳,xinyangshi,Xinyang,Henan,
anhui,jing county,anhui指安徽，无需修改。jing county指安徽宣城的泾县，泾县是县级市，所属地级行政区是宣城市，全称宣城市，简称宣城。泾县全称泾县，简称泾县，填充到区。,安徽,宣城市,宣城,泾县,泾县,,null,null,xuanchengshi,xuancheng,jingxian,jingxian,安徽省,安徽,宣城市,宣城,xuanchengshi,Xuancheng,Anhui,
henan,xiangcheng city,henan指河南，无需修改。xiangcheng city指河南许昌市的襄城县，许昌市是地级行政区，全称许昌市，简称许昌。襄城县全称襄城县，简称襄城,河南,许昌市,许昌,襄城县,襄城,河南拼音henan，许昌市拼音xuchangshi，许昌拼音xuchang，襄城县拼音xiangchengxian，襄城拼音xiangcheng,henan,henan,xuchangshi,xuchang,xiangchengxian,xiangcheng,河南省,河南,许昌市,许昌,xuchangshi,Xuchang,Henan,
jiangsu,weicun town,jiangsu指江苏，无需修改。weicun town指江苏徐州的睢宁县，所属地级行政区是徐州市，全称徐州市，简称徐州。睢宁县全称睢宁县，简称睢宁，填充到区。,江苏,徐州市,徐州,睢宁县,睢宁,,jiangsu,jiangsu,xuzhoushi,xuzhou,suiningxian,suining,江苏省,江苏,徐州市,徐州,xuzhoushi,Xuzhou,Jiangsu,
hubei,yuan an county,hubei指湖北，无需修改。yuan an county指湖北的远安县，所属地级行政是宜昌市，全称宜昌市，简称宜昌。远安县全称远安县，简称远安,湖北,宜昌市,宜昌,远安县,远安,,hubei,hubei,yichangshi,yichang,yuananxian,yuanan,湖北省,湖北,宜昌市,宜昌,yichangshi,Yichang,Hubei,
jiangxi,gaoan,jiangxi指江西，无需修改。gaoan指江西的高安市，高安市是县级市，所属地级行政区是宜春市，全称宜春市，简称宜春。高安市全称高安市，简称高安,江西,宜春市,宜春,高安市,高安,,jiangxi,jiangxi,yichunshi,yichun,gao'anshi,gao'an,江西省,江西,宜春市,宜春,yichunshi,Yichun,Jiangxi,
jiangxi,jing an county,jiangxi指江西，无需修改。jing an county指江西宜春市的靖安县，所属地级行政区是宜春市，全称宜春市，简称宜春。靖安县全称靖安县，简称靖安,江西,宜春市,宜春,靖安县,靖安,,jiang xi,jiangxi,yi chun shi,yi chun,jing an xian,jing an,江西省,江西,宜春市,宜春,yichunshi,Yichun,Jiangxi,
xinjiang uygur,korgas,xinjiang uygur指新疆维吾尔自治区，无需修改。korgas指新疆维吾尔自治区伊犁哈萨克自治州的霍尔果斯市，伊犁哈萨克自治州是地级行政区，全称伊犁哈萨克自治州，简称伊犁。霍尔果斯市的全称是霍尔果斯市，简称霍尔果斯，填充到区。,新疆维吾尔自治区,伊犁哈萨克自治州,伊犁,霍尔果斯市,霍尔果斯,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，伊犁哈萨克自治州拼音yilihasakezizhizhou，伊犁拼音yili，霍尔果斯市拼音huoerguosishi，霍尔果斯拼音huoerguosi,xinjiangweiwuerzizhiqu,xinjiang,yilihasakezizhizhou,yili,huoerguosishi,huoerguosi,新疆维吾尔自治区,新疆,伊犁哈萨克自治州,伊犁,yilihasakezizhizhou,Ili,Xinjiang,
xinjiang uygur,nilka county,xinjiang uygur指新疆维吾尔自治区，无需修改。nilka county指新疆维吾尔自治区的尼勒克县，尼勒克县是县级行政区，所属地级行政区是伊犁哈萨克自治州，全称伊犁哈萨克自治州，简称伊犁。尼勒克县全称尼勒克县，简称尼勒克,新疆维吾尔自治区,伊犁哈萨克自治州,伊犁,尼勒克县,尼勒克,,xinjiangweiwuerzizhiqu,xinjiang,yilihasakezizhizhou,yili,nilekexian,nileke,新疆维吾尔自治区,新疆,伊犁哈萨克自治州,伊犁,yilihasakezizhizhou,Ili,Xinjiang,
inner mongolia,xingqing district,inner mongolia指内蒙古自治区，全称内蒙古自治区，简称内蒙古。xingqing district指内蒙古自治区银川市的兴庆区，所属地级行政是银川市，全称银川市，简称银川。兴庆区全称兴庆区，简称兴庆,内蒙古自治区,银川市,银川,兴庆区,兴庆,,neimengguzizhiqu,inner mongolia,yinchuanshi,yinchuan,xingqingqu,xingqing,宁夏回族自治区,宁夏,银川市,银川,yinchuanshi,Yinchuan,Ningxia,
liaoning,gaixian,liaoning指辽宁，符合格式无需修改。gaixian指辽宁的盖州市，盖州市是县级市，所属地级行政区是营口市，全称营口市，简称营口。盖州市全称盖州市，简称盖州，填充到区。,辽宁,营口市,营口,盖州市,盖州,,liaoning,liaoning,yingkoushi,yingkou,gaizhoushi,gaizhou,辽宁省,辽宁,营口市,营口,yingkoushi,Yingkou,Liaoning,
hunan,dongan county,hunan指湖南，无需修改。dongan county指湖南的东安县，东安县是县级市，所属地级行政区是永州市，全称永州市，简称永州。东安县全称东安县，简称东安，填充到区。,湖南,永州市,永州,东安县,东安,,hunan,hunan,yongzhoushi,yongzhou,dong'anxian,dong'an,湖南省,湖南,永州市,永州,yongzhoushi,Yongzhou,Hunan,
hunan,dao county,hunan指湖南，无需修改。dao county指湖南永州市的道县，所属地级行政是永州市，全称永州市，简称永州。道县全称道县，简称道县,湖南,永州市,永州,道县,道县,,hunan,hunan,yongzhoushi,yongzhou,daoxian,daoxian,湖南省,湖南,永州市,永州,yongzhoushi,Yongzhou,Hunan,
shanxi,xia county,shanxi指山西，无需修改。xia county指山西运城市的夏县，运城市是地级行政区，全称运城市，简称运城。夏县全称夏县，简称夏,山西,运城市,运城,夏县,夏,,shanxi,shanxi,yunchengshi,yuncheng,xiaxian,xia,山西省,山西,运城市,运城,yunchengshi,Yuncheng,Shanxi,
yunnan,eshan yizu aut county,yunnan指云南，无需修改。eshan yizu aut county指云南的峨山彝族自治县，所属地级行政是玉溪市，全称玉溪市，简称玉溪。峨山彝族自治县全称峨山彝族自治县，简称峨山,云南,玉溪市,玉溪,峨山彝族自治县,峨山,,yunnan,yunnan,yuxishi,yuxi,eshanjiaozuzizhixian,eshan,云南省,云南,玉溪市,玉溪,yuxishi,Yuxi,Yunnan,
yunnan,xinping yizu daizu aut county,yunnan指云南，全称云南省，简称云南。xinping yizu daizu aut county指云南的新平彝族傣族自治县，所属地级行政区是玉溪市，全称玉溪市，简称玉溪。新平彝族傣族自治县全称新平彝族傣族自治县，简称新平,云南省,玉溪市,玉溪,新平彝族傣族自治县,新平,,yunnansheng,yunnansheng,yuxishi,yuxi,xinping yizu daizu zizhixian,xinping,云南省,云南,玉溪市,玉溪,yuxishi,Yuxi,Yunnan,
yunnan,yuanjiang hani,yunnan指云南省，全称云南省，简称云南。yuanjiang hani指云南省玉溪市的元江哈尼族彝族傣族自治县，所属地级行政区是玉溪市，全称玉溪市，简称玉溪。元江哈尼族彝族傣族自治县全称元江哈尼族彝族傣族自治县，简称元江,云南省,玉溪市,玉溪,元江哈尼族彝族傣族自治县,元江,,yun nan sheng,yunnansheng,yuxishi,yuxi,yuanjiang hani zu yi zu dai zu zizhi xian,yuanjiang,云南省,云南,玉溪市,玉溪,yuxishi,Yuxi,Yunnan,
hebei,yu county,hebei指河北，无需修改。yu county指河北的蔚县，蔚县是县级行政区，所属地级行政区是张家口市，全称张家口市，简称张家口。蔚县全称蔚县，简称蔚，填充到区。,河北,张家口市,张家口,蔚县,蔚,,he bei,hebei,zhang jia kou shi,zhang jia kou,yu xian,yu,河北省,河北,张家口市,张家口,zhangjiakoushi,Zhangjiakou,Hebei,
gansu,sunan yugur autonomous county,gansu指甘肃，无需修改。sunan yugur autonomous county指甘肃的肃南裕固族自治县，肃南裕固族自治县是县级行政区，所属地级行政区是张掖市，全称张掖市，简称张掖。肃南裕固族自治县全称肃南裕固族自治县，简称肃南，填充到区。,甘肃,张掖市,张掖,肃南裕固族自治县,肃南,,gansu,gansu,zhangyeshi,zhangye,sunanyuguzuzi zhixian,sunan,甘肃省,甘肃,张掖市,张掖,zhangyeshi,Zhangye,Gansu,
fujian,zhao an county,fujian指福建，无需修改。zhao an county指福建的诏安县，诏安县是县级行政区，所属地级行政区是漳州市，全称漳州市，简称漳州。诏安县全称诏安县，简称诏安,福建,漳州市,漳州,诏安县,诏安,,fujian,fujian,zhangzhoushi,zhangzhou,zhao'anxian,zhao'an,福建省,福建,漳州市,漳州,zhangzhoushi,Zhangzhou,Fujian,
fujian,huaan county,fujian指福建，无需修改。huaan county指福建的华安县，华安县是县级行政区，所属地级行政区是漳州市，全称漳州市，简称漳州。华安县全称华安县，简称华安,福建,漳州市,漳州,华安县,华安,,fujian,fujian,zhangzhou shi,zhangzhou,hua'an xian,hua'an,福建省,福建,漳州市,漳州,zhangzhoushi,Zhangzhou,Fujian,
fujian,dongshan county,fujian指福建，无需修改。dongshan county指福建的东山县，东山县是县级市，所属地级行政区是漳州市，全称漳州市，简称漳州。东山县全称东山县，简称东山，填充到区。,福建,漳州市,漳州,东山县,东山,,fujian,fujian,zhangzhoushi,zhangzhou,dongshanxian,dongshan,福建省,福建,漳州市,漳州,zhangzhoushi,Zhangzhou,Fujian,
henan,guancheng huizu district,henan指河南，无需修改。guancheng huizu district指河南郑州市的管城回族区，所属地级行政是郑州市，全称郑州市，简称郑州。管城回族区全称管城回族区，简称管城,河南,郑州市,郑州,管城回族区,管城,河南拼音henan，郑州市拼音zhengzhoushi，郑州拼音zhengzhou，管城回族区拼音guanchenghuizuzhiqu，管城拼音guancheng,henan,henan,zhengzhoushi,zhengzhou,guanchenghuizuzhiqu,guancheng,河南省,河南,郑州市,郑州,zhengzhoushi,Zhengzhou,Henan,
henan,jinshui district,henan指河南，无需修改。jinshui district指河南郑州市的金水区，所属地级行政区是郑州市，全称郑州市，简称郑州。金水区全称金水区，简称金水,河南,郑州市,郑州,金水区,金水,,henan,henan,zhengzhoushi,zhengzhou,jinshuiqu,jinshui,河南省,河南,郑州市,郑州,zhengzhoushi,Zhengzhou,Henan,
chongqing,zhong county,chongqing指重庆市，全称重庆市，简称重庆。zhong county指重庆的忠县，全称忠县，简称忠,重庆市,重庆市,重庆,忠县,忠,,chongqingshi,chongqingshi,chongqingshi,chongqing,zhongxian,zhong,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
chongqing,shizhu tujiazu aut county,chongqing指重庆，无需修改。shizhu tujiazu aut county指重庆的石柱土家族自治县，所属地级行政是重庆市，全称重庆市，简称重庆。石柱土家族自治县全称石柱土家族自治县，简称石柱,重庆,重庆市,重庆,石柱土家族自治县,石柱,,chongqing,chongqing,chongqingshi,chongqing,shizhu tujiazu zizhi xian,shizhu,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
chongqing,youyang tujiazu miaozu aut county,chongqing指重庆，无需修改。youyang tujiazu miaozu aut county指重庆的酉阳土家族苗族自治县，所属地级行政是酉阳土家族苗族自治县隶属的重庆市，全称重庆市，简称重庆。酉阳土家族苗族自治县全称酉阳土家族苗族自治县，简称酉阳,重庆,重庆市,重庆,酉阳土家族苗族自治县,酉阳,,chongqing,chongqing,chongqingshi,chongqing,youyangtujiazumiaozuzizhixian,youyang,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
chongqing,xiushan tujia and miao autonomous county,chongqing指重庆市，无需修改。xiushan tujia and miao autonomous county指重庆的秀山土家族苗族自治县，秀山土家族苗族自治县是县级行政区，所属地级行政区是重庆市，全称重庆市，简称重庆。秀山土家族苗族自治县全称秀山土家族苗族自治县，简称秀山，填充到区。,重庆市,重庆市,重庆,秀山土家族苗族自治县,秀山,,zhong qing shi,zhongqingshi,zhong qing shi,zhong qing,xiu shan tu jia zu miao zu zi zhi xian,xiu shan,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
chongqing,yangjiaping,chongqing指重庆市，全称重庆市，简称重庆。yangjiaping指重庆市的九龙坡区杨家坪街道，所属地级行政区是重庆市，全称重庆市，简称重庆。杨家坪街道隶属九龙坡区，九龙坡区全称九龙坡区，简称九龙坡，填充到区。,重庆市,重庆市,重庆,九龙坡区,九龙坡,,chongqing shi,chongqingshi,chongqing shi,chongqing,jiulongpoqu,jiulongpo,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
chongqing,pengshui miaozu tujiazu aut county,chongqing指重庆，无需修改。pengshui miaozu tujiazu aut county指重庆彭水苗族土家族自治县，彭水苗族土家族自治县是县级自治县，所属地级行政区是重庆市，全称重庆市，简称重庆。彭水苗族土家族自治县全称彭水苗族土家族自治县，简称彭水,重庆,重庆市,重庆,彭水苗族土家族自治县,彭水,,chongqing,chongqing,chongqingshi,chongqing,pengshui miao zu tujia zu zizhixian,pengshui,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
chongqing,yubei district,chongqing指重庆，无需修改。yubei district指重庆的渝北区，全称渝北区，简称渝北,重庆,重庆市,重庆,渝北区,渝北,,chongqing,chongqing,chongqingshi,chongqing,yubeiqu,yubei,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
zhejiang,dinghai,zhejiang指浙江，无需修改。dinghai指浙江的定海区，定海区是舟山市的下辖区，所属地级行政区是舟山市，全称舟山市，简称舟山。定海区全称定海区，简称定海，填充到区。,浙江,舟山市,舟山,定海区,定海,浙江拼音zhejiang，舟山市拼音zhoushanshi，舟山拼音zhoushan，定海区拼音dinghaiqu，定海拼音dinghai,zhejiang,zhejiang,zhoushanshi,zhoushan,dinghaiqu,dinghai,浙江省,浙江,舟山市,舟山,zhoushanshi,Zhoushan,Zhejiang,
zhejiang,zhoushan,zhejiang指浙江，无需修改。zhoushan指浙江的舟山市，舟山市是地级行政区，全称舟山市，简称舟山。输入没有提供地区名，填充为null。,浙江,舟山市,舟山,null,null,,zhejiang,zhejiang,zhoushanshi,zhoushan,null,null,浙江省,浙江,舟山市,舟山,zhoushanshi,Zhoushan,Zhejiang,
zhejiang,daishan,zhejiang指浙江，无需修改。daishan指浙江的岱山县，岱山县所属地级行政区是舟山市，全称舟山市，简称舟山。岱山县全称岱山县，简称岱山,浙江,舟山市,舟山,岱山县,岱山,,zhejiang,zhejiang,zhoushanshi,zhoushan,daishanshan,daishan,浙江省,浙江,舟山市,舟山,zhoushanshi,Zhoushan,Zhejiang,
shandong,wenquan subdistrict,shandong指山东，无需修改。wenquan subdistrict指山东的淄博市张店区温泉街道，所属地级行政区是淄博市，全称淄博市，简称淄博。温泉街道所在的区是张店区，全称张店区，简称张店,山东,淄博市,淄博,张店区,张店,,shandong,shandong,zibo shi,zibo,zhangdianqu,zhangdian,山东省,山东,淄博市,淄博,ziboshi,Zibo,Shandong,
guizhou,chishui city,guizhou指贵州，无需修改。chishui city指贵州的赤水市，赤水市是县级市，所属地级行政区是遵义市，全称遵义市，简称遵义。赤水市全称赤水市，简称赤水,贵州,遵义市,遵义,赤水市,赤水,,guizhou,guizhou,zunyi shi,zunyi,chishui shi,chishui,贵州省,贵州,遵义市,遵义,zunyishi,Zunyi,Guizhou,
guizhou,zheng an county,guizhou指贵州，无需修改。zheng an county指贵州遵义市的正安县，所属地级行政是遵义市，全称遵义市，简称遵义。正安县全称正安县，简称正安,贵州,遵义市,遵义,正安县,正安,,guizhou,guizhou,zunyishi,zunyi,zheng anxian,zheng an,贵州省,贵州,遵义市,遵义,zunyishi,Zunyi,Guizhou,
guizhou,daozhen gelaozu miaozu aut county,guizhou指贵州，无需修改。daozhen gelaozu miaozu aut county指贵州的道真仡佬族苗族自治县，所属地级行政区是遵义市，全称遵义市，简称遵义。道真仡佬族苗族自治县全称道真仡佬族苗族自治县，简称道真,贵州,遵义市,遵义,道真仡佬族苗族自治县,道真,,guizhou,guizhou,zunyishi,zunyi,daozhengelaozumiaozuzhixian,daozhen,贵州省,贵州,遵义市,遵义,zunyishi,Zunyi,Guizhou,
guizhou,wuchuan gelaozu miaozu aut county,guizhou指贵州省，全称贵州省，简称贵州。wuchuan gelaozu miaozu aut county指贵州的务川仡佬族苗族自治县，所属地级行政是遵义市，全称遵义市，简称遵义。务川仡佬族苗族自治县全称务川仡佬族苗族自治县，简称务川,贵州,遵义市,遵义,务川仡佬族苗族自治县,务川,,guizhou,guizhou,zunyishi,zunyi,wuchuan gelaozu miao zuziqixian,wuchuan,贵州省,贵州,遵义市,遵义,zunyishi,Zunyi,Guizhou,
henan,longan district,henan指河南。longan district指河南安阳的龙安区，全称龙安区，简称龙安,河南,安阳市,安阳,龙安区,龙安,河南拼音henan，安阳市拼音anyangshi，安阳拼音anyang，龙安区拼音longanqu，龙安拼音longan,henan,henan,anyangshi,anyang,longanqu,longan,河南省,河南,安阳市,安阳,anyangshi,Anyang,Henan,
sichuan,shiyang town,sichuan指四川。shiyang town指四川的石羊镇，石羊镇隶属于都江堰市，都江堰市是地级行政区成都市代管的县级市，全称成都市，简称成都。石羊镇的全称是石羊镇，简称石羊,四川,成都市,成都,石羊镇,石羊,四川拼音sichuan，成都市拼音chengdushi，成都拼音chengdu，石羊镇拼音shiyangzhen，石羊拼音shiyang,sichuan,sichuan,chengdushi,chengdu,shiyangzhen,shiyang,四川省,四川,成都市,成都,chengdoushi,Chengdu,Sichuan,
heilongjiang,pingyang town,heilongjiang指黑龙江。pingyang town指黑龙江的平阳镇，平阳镇隶属于鸡西市，全称鸡西市，简称鸡西。平阳镇的全称是平阳镇，简称平阳,黑龙江,鸡西市,鸡西,平阳镇,平阳,黑龙江拼音heilongjiang，鸡西市拼音jixishi，鸡西拼音jixi，平阳镇拼音pingyangzhen，平阳拼音pingyang,heilongjiang,heilongjiang,jixishi,jixi,pingyangzhen,pingyang,黑龙江省,黑龙江,鸡西市,鸡西,jixishi,Jixi,Heilongjiang,
xinjiang uygur,kargilik county,xinjiang uygur指新疆维吾尔自治区。kargilik county指新疆的伽师县，伽师县是喀什地区下辖县，全称喀什地区，简称喀什。伽师县的全称是伽师县，简称伽师，填充到区。,新疆维吾尔自治区,喀什地区,喀什,伽师县,伽师,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，喀什地区拼音kashidiqu，喀什拼音kashi，伽师县拼音jiashixian，伽师拼音jiashi,xinjiangweiwuerzizhiqu,xinjiang,kashidiqu,kashi,jiashixian,jiashi,新疆维吾尔自治区,新疆,喀什地区,喀什,kashidiqu,Kashgar,Xinjiang,
hebei,nandayuan township,hebei指河北。nandayuan township指河北廊坊的南大王庄，所属地级行政是廊坊市，全称廊坊市，简称廊坊。南大王庄所属区是安次区，全称安次区，简称安次,河北,廊坊市,廊坊,安次区,安次,河北拼音hebei，廊坊市拼音langfangshi，廊坊拼音langfang，安次区拼音anciqu，安次拼音anci,hebei,hebei,langfangshi,langfang,anciqu,anci,河北省,河北,廊坊市,廊坊,langfangshi,Langfang,Hebei,
jiangsu,huilong town,jiangsu指江苏。huilong town指江苏的汇龙镇，汇龙镇隶属于启东市，启东市是地级行政区南通市代管的县级市，全称南通市，简称南通。汇龙镇的全称是汇龙镇，简称汇龙,江苏,南通市,南通,汇龙镇,汇龙,江苏拼音jiangsu，南通市拼音nantongshi，南通拼音nantong，汇龙镇拼音huilongzhen，汇龙拼音huilong,jiangsu,jiangsu,nantongshi,nantong,huilongzhen,huilong,江苏省,江苏,南通市,南通,nantongshi,Nantong,Jiangsu,
guangdong,kuichong subdistrict,guangdong指广东。kuichong subdistrict指广东深圳的葵涌街道，所属地级行政是深圳市，全称深圳市，简称深圳。葵涌街道所属区是大鹏新区，全称大鹏新区，简称大鹏,广东,深圳市,深圳,大鹏新区,大鹏,广东拼音guangdong，深圳市拼音shenzhenshi，深圳拼音shenzhen，大鹏新区拼音dapengxinqu，大鹏拼音dapeng,guangdong,guangdong,shenzhenshi,shenzhen,dapengxinqu,dapeng,广东省,广东,深圳市,深圳,shenzhenshi,Shenzhen,Guangdong,
anhui,tongguan district,anhui指安徽。tongguan district指安徽铜陵的铜官区，全称铜官区，简称铜官,安徽,铜陵市,铜陵,铜官区,铜官,安徽拼音anhui，铜陵市拼音tonglingshi，铜陵拼音tongling，铜官区拼音tongguanqu，铜官拼音tongguan,anhui,anhui,tonglingshi,tongling,tongguanqu,tongguan,安徽省,安徽,铜陵市,铜陵,tonglingshi,Tongling,Anhui,
hubei,liufang,hubei指湖北。liufang指湖北的老河口市，老河口市是县级市，所属地级行政区是襄阳市，全称襄阳市，简称襄阳。老河口市的全称是老河口市，简称老河口，填充到区。,湖北,襄阳市,襄阳,老河口市,老河口,湖北拼音hubei，襄阳市拼音xiangyangshi，襄阳拼音xiangyang，老河口市拼音laohekoushi，老河口拼音laohekou,hubei,hubei,xiangyangshi,xiangyang,laohekoushi,laohekou,湖北省,湖北,襄阳市,襄阳,xiangyangshi,Xiangyang,Hubei,
hubei,qingcheng,hubei指湖北。qingcheng指湖北咸宁的咸安区的旧称，全称咸安区，简称咸安,湖北,咸宁市,咸宁,咸安区,咸安,湖北拼音hubei，咸宁市拼音xianningshi，咸宁拼音xianning，咸安区拼音xiananqu，咸安拼音xianan,hubei,hubei,xianningshi,xianning,xiananqu,xianan,湖北省,湖北,咸宁市,咸宁,xianningshi,Xianning,Hubei,
shaanxi,wayaobu subdistrict,shaanxi指陕西。wayaobu subdistrict指陕西的韦曲街道，街道属于区县下辖，这里的区县可能是指西安市长安区的韦曲街道，西安市所属地级行政区是西安市，全称西安市，简称西安。韦曲街道的全称是韦曲街道，简称韦曲，填充到区。,陕西,西安市,西安,韦曲街道,韦曲,陕西拼音shanxi，西安市拼音xianshi，西安拼音xian，韦曲街道拼音weiqujiedao，韦曲拼音weiqu,shanxi,shanxi,xianshi,xian,weiqujiedao,weiqu,陕西省,陕西,西安市,西安,xianshi,Xian,Shaanxi,
shanxi,anyi neighborhood,shanxi指山西。anyi neighborhood指山西运城的安邑街道，所属地级行政是运城市，全称运城市，简称运城。安邑街道所属区是盐湖区，全称盐湖区，简称盐湖,山西,运城市,运城,盐湖区,盐湖,山西拼音shanxi，运城市拼音yunchengshi，运城拼音yuncheng，盐湖区拼音yanhuqu，盐湖拼音yanhu,shanxi,shanxi,yunchengshi,yuncheng,yanhuqu,yanhu,山西省,山西,运城市,运城,yunchengshi,Yuncheng,Shanxi,
chongqing,chongqing,chongqing指重庆。输入市为重庆市，重庆是直辖市，全称重庆市，简称渝。输入没有提供地区名，填充为null。,重庆,重庆市,渝,null,null,重庆拼音zhongqing，重庆市拼音zhongqingshi，渝拼音yu，null非中文返回null，null非中文返回null,zhongqing,zhongqing,zhongqingshi,yu,null,null,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing,
sichuan,jiuzhaigou county,sichuan指四川。jiuzhaigou county指四川的九寨沟县，九寨沟县是县级行政区，所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。九寨沟县的全称是九寨沟县，简称九寨沟，填充到区。,四川,阿坝藏族羌族自治州,阿坝,九寨沟县,九寨沟,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzuyiqiangzuzizhizhou，阿坝拼音aba，九寨沟县拼音jiuzhaigouxian，九寨沟拼音jiuzhaigou,sichuan,sichuan,abazangzuyiqiangzuzizhizhou,aba,jiuzhaigouxian,jiuzhaigou,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan,
sichuan,zamtang county,sichuan指四川。zamtang county指四川的壤塘县，壤塘县是县级行政区，所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。壤塘县全称壤塘县，简称壤塘，填充到区。,四川,阿坝藏族羌族自治州,阿坝,壤塘县,壤塘,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzuqiangzuzizhizhou，阿坝拼音aba，壤塘县拼音rangtangxian，壤塘拼音rangtang,sichuan,sichuan,abazangzuqiangzuzizhizhou,aba,rangtangxian,rangtang,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan,
sichuan,siguniangshan,sichuan指四川。siguniangshan指四川的四姑娘山，四姑娘山位于阿坝藏族羌族自治州小金县，小金县所属地级行政区是阿坝藏族羌族自治州，全称阿坝藏族羌族自治州，简称阿坝。四姑娘山所在的县是小金县，全称小金县，简称小金，填充到区。,四川,阿坝藏族羌族自治州,阿坝,小金县,小金,四川拼音sichuan，阿坝藏族羌族自治州拼音abazangzumiqiangzuzizhizhou，阿坝拼音aba，小金县拼音xiaojinxian，小金拼音xiaojin,sichuan,sichuan,abazangzumiqiangzuzizhizhou,aba,xiaojinxian,xiaojin,四川省,四川,阿坝藏族羌族自治州,阿坝,abacangzuqiangzuzizhizhou,Aba,Sichuan,
inner mongolia,alxa youqi,inner mongolia指内蒙古。alxa youqi指内蒙古的阿拉善盟，阿拉善盟是地级行政区，全称阿拉善盟，简称阿拉善。输入没有提供地区名，填充为null。,内蒙古,阿拉善盟,阿拉善,null,null,内蒙古拼音neimenggu，阿拉善盟拼音alashanmeng，阿拉善拼音alashan，null非中文返回null，null非中文返回null,neimenggu,inner mongolia,alashanmeng,alashan,null,null,内蒙古自治区,内蒙古,阿拉善盟,阿拉善盟,alashanmeng,Alxa,Inner Mongolia,
xinjiang uygur,qinggil county,xinjiang uygur指新疆维吾尔自治区。qinggil county指新疆维吾尔自治区的青河县，所属地级行政区是阿勒泰地区，全称阿勒泰地区，简称阿勒泰。青河县全称青河县，简称青河，填充到区。,新疆维吾尔自治区,阿勒泰地区,阿勒泰,青河县,青河,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，阿勒泰地区拼音aletaidiqu，阿勒泰拼音aletai，青河县拼音qinghexian，青河拼音qinghe,xinjiangweiwuerzizhiqu,xinjiang,aletaidiqu,aletai,qinghexian,qinghe,新疆维吾尔自治区,新疆,阿勒泰地区,阿勒泰,aletaidiqu,Altay,Xinjiang,
shaanxi,hanbin district,shaanxi指陕西。hanbin district指陕西的汉滨区，所属地级行政是安康市，全称安康市，简称安康。汉滨区全称汉滨区，简称汉滨,陕西,安康市,安康,汉滨区,汉滨,陕西拼音shanxi，安康市拼音ankangshi，安康拼音ankang，汉滨区拼音hanbinqu，汉滨拼音hanbin,shanxi,shanxi,ankangshi,ankang,hanbinqu,hanbin,陕西省,陕西,安康市,安康,ankangshi,Ankang,Shaanxi,
liaoning,haicheng,liaoning指辽宁。haicheng指辽宁鞍山市的海城市，海城市是县级市，所属地级行政区是鞍山市，全称鞍山市，简称鞍山。海城市的全称是海城市，简称海城，填充到区。,辽宁,鞍山市,鞍山,海城市,海城,辽宁拼音liaoning，鞍山市拼音anshanshi，鞍山拼音anshan，海城市拼音haichengshi，海城拼音haicheng,liaoning,liaoning,anshanshi,anshan,haichengshi,haicheng,辽宁省,辽宁,鞍山市,鞍山,anshanshi,Anshan,Liaoning,
guizhou,zhenning buyeizu miaozu aut county,guizhou指贵州。zhenning buyeizu miaozu aut county指贵州的镇宁布依族苗族自治县，所属地级行政区是安顺市，全称安顺市，简称安顺。镇宁布依族苗族自治县的全称是镇宁布依族苗族自治县，简称镇宁。,贵州,安顺市,安顺,镇宁布依族苗族自治县,镇宁,贵州拼音guizhou，安顺市拼音anshunshi，安顺拼音anshun，镇宁布依族苗族自治县拼音zhenningbuyizumiaozuzizhixian，镇宁拼音zhenning,guizhou,guizhou,anshunshi,anshun,zhenningbuyizumiaozuzizhixian,zhenning,贵州省,贵州,安顺市,安顺,anshunshi,Anshun,Guizhou,
